H2,CH4,C2H2,C2H4,C2H6,Fault
379974.38,317282.36,659428.22,418985.37,318461.33,
140155.66,175220.4,526684.26,21136.23,353005.0,
370636.62,439537.79,532770.86,122304.07,375221.28,
30196.57,169546.68,195028.99,32384.23,367738.09,
171229.14,201634.17,348274.8,389674.36,181989.8,
367162.97,352060.74,176028.9,352225.22,32518.8,
44869.35,12932.78,25265.47,274234.85,10939.13,
293386.59,372530.91,23264.26,254884.55,97230.12,
347889.62,263600.77,65124.38,411490.83,272151.29,
359848.06,148971.84,596009.69,129064.11,104393.49,
364685.73,224576.56,515738.12,403253.46,284970.94,
315014.28,108150.7,35807.47,163844.86,49252.4,
437143.27,81098.35,424062.33,91510.39,235879.92,
313855.89,330686.29,363280.7,6564.9,27769.89,
97236.48,370527.94,650815.04,143635.35,80228.98,
375451.11,421577.35,559698.29,131629.45,222942.58,
316531.57,288425.85,340459.25,177495.04,326915.78,
188988.64,134619.27,64479.04,465338.16,51536.02,
392813.09,10720.96,115380.41,412353.52,242889.83,
76078.32,138080.63,1017.73,356669.94,317074.0,
126688.07,438723.35,479576.26,170955.46,56469.72,
271962.46,138903.98,516718.61,117679.54,111784.21,
285859.14,13282.05,648577.3,53629.96,344261.03,
468956.67,235489.5,55625.76,316548.31,23779.42,
227260.93,295535.06,409582.72,133814.8,140816.92,
232321.53,18347.53,354806.1,26733.27,238181.04,
191116.33,297380.32,580913.12,70951.42,300258.36,
354056.94,313339.19,634232.11,59126.13,135397.32,
63016.72,395818.12,252998.79,79035.44,124494.94,
365426.61,100905.77,667561.65,222073.37,93947.31,
287006.05,149690.51,184598.68,188296.36,104122.15,
90279.91,101638.96,444971.07,49815.79,143817.61,
486636.49,355142.34,519059.97,398979.77,122823.2,
6198.65,230514.9,224431.43,18078.66,43990.76,
143346.77,109489.08,41270.38,283710.34,306993.05,
148762.06,104473.08,518323.44,377045.84,363282.88,
375221.01,11872.22,447008.25,155657.74,6163.44,
71476.45,10425.4,536658.63,438085.72,259448.36,
391572.27,86798.71,286060.75,101282.61,194588.19,
38669.41,278628.75,585166.99,139940.83,170992.96,
367695.63,195677.5,581498.25,154621.15,27598.17,
67366.14,45068.12,120555.94,445527.73,209968.55,
293008.99,404890.61,126808.62,36148.15,192895.56,
