H2,CH4,C2H2,C2H4,C2H6,Fault
36036.0,149.0,11.0,3.0,875.0,T1T2
2373.0,10.0,0.8,102.0,8000.0,D2
480.0,410.2,7.13,15.9,2.0,NF
3420.0,1110.0,124.0,7.0,2308.92,T3
170.0,1120.0,27.0,435718.0,434.0,D1
99.0,278.53,269.5,411.0,0.0,D2
3090.0,20.0,3.1,260.0,0.0,D2
3420.0,554.2,250.0,1132.0,22.0,T3
2323.0,77.0,207.0,7020.0,13.0,D2
3.11,4144.0,90.0,33.0,8.0,D1
12705.0,7870.0,38.57,20.1,5500.0,NF
65.2,50.0,280.0,6242.0,226.0,PD
14.0,10.0,22.0,40.54,0.37,D2
800.0,2.97,0.2,315114.0,0.0,NF
545.0,1690.0,10.1,1.22,19.0,D2
613.0,449556.0,10.0,2.64,33.0,D2
40280.0,24.0,4.0,9.0,44.0,D1
2850.0,1200.0,54.0,411.0,45.0,NF
4230.0,41.9,537988.0,7.0,6.0,T3
31.0,419.0,103.0,181.0,13.53,NF
128.0,37.3,67.0,5.0,239282.0,D1
165.62,300.0,2690.0,2.0,700.0,D1
290.0,774.0,31.5,249.8,6790.0,D1
1550.0,1031.0,4.7,97.0,0.6,T3
3.11,1069.0,70.0,304.0,270.0,T1T2
43.0,5.0,7025.0,34257.0,220.0,D1
7919.0,65.58,32.6,271.0,4040.0,D1
595.0,500.0,16.0,89.0,4844.48,D2
45.0,100.0,1.0,166.0,2489.0,D2
35.0,110.0,12.8,1210.0,240.0,T2
150.0,195.8,67.0,93.0,8.0,T3
6709.0,22.0,1560.0,68.6,940.0,T3
4419.0,185.0,45.24,7.0,828.0,NF
22.5,844.0,673175.0,0.03,25.1,NF
8.0,754.0,2572.0,836.0,0.0,NF
6709.0,61000.0,45.21,31.0,19.0,D1
0.0,13000.0,1712.0,41.0,668.0,T3
20.37,120.0,22.0,1000.0,219.0,D2
224.0,1.0,2.48,365.0,2.0,D2
16000.0,4637.0,490.0,193.6,16.0,NF
111.0,5.2,30.0,4.0,10.0,D2
9340.0,24.45,90.0,30.3,0.0,D2
9704.0,100.0,58.86,800.0,1180.0,D2
150.0,271385.0,2.0,1.0,13.0,PD
35.1,111.9,36.0,1810.0,0.0,NF
800.0,345.0,170.0,489.57,2300.0,D1
99.0,1120.0,49.0,489.57,760.0,D1
290.0,34.6,1432.0,46.92,35.0,D1
5100.0,28.0,4790.0,403.0,16.45,T1
3420.0,58.96,4790.0,7.0,270.0,D2
3.11,998.0,570.57,570.0,0.0,PD
260.0,120.0,234.0,91.6,111.0,D2
96.0,28.0,323.0,411.0,1300.0,T2
44.6,782.0,545454.0,3500.0,116994.0,D2
6709.0,345.0,11.0,10.0,0.0,PD
860.0,1670.0,96.81,434322.0,600.0,D1
75.0,360.0,0.2,41.0,234.0,D2
2366.0,702.0,67.0,1.4,44.0,D2
47.0,10.0,32.0,131.0,29990.0,D2
522.2,1381.0,6.0,2050.0,34.0,PD
6709.0,450.0,1830.0,278.18,25.1,T1
3090.0,4880.0,2572.0,276.0,182.0,D1
1000.0,3564.0,28.0,31.9,91.29,PD
900.0,149.0,1432.0,10700.0,2540.0,T3
5000.0,2000.0,18.0,7.0,14.25,T3
48.0,199740.0,750.0,8.0,6.0,D1
860.0,9.0,159.0,131.0,3.74,T3
535.0,89.0,323.0,181.0,0.0,T2
290.0,120.0,16.0,1.02,0.0,D2
87.0,2000.0,190961.0,2861.0,10.0,D1
60.0,10.0,1712.0,53.0,145.0,T2
9840.0,5020.0,683643.0,440.0,2308.92,D1
45.0,195.8,35.0,33.0,94.0,D2
9704.0,224.0,36.0,90.0,49.0,D1
20000.0,660.0,125.22,3120.0,3.0,NF
290.0,71.93,159.0,541.0,355.0,T2
305.0,86.0,5.0,3800.0,1.01,T3
110.6,0.0,244.0,6.0,167.0,D1
2850.0,52.2,35.0,1780.0,110.0,T2
195.9,160.0,760.0,7.24,399.0,T1
130.0,940.0,669150.0,110.0,31.1,T1
2525.3,947.43,2.0,3.0,460.0,D1
676.74,3450.0,2.0,5150.0,1.76,T3
6.82,1440.0,705.0,0.9,1.5,T3
2800.0,1670.0,36.0,126.0,769.0,D1
70.0,7870.0,3.91,27.0,198.5,D2
9823.0,3.0,769.0,312.0,104.0,D1
120.0,89.0,2.0,100.0,0.0,NF
7487.0,18.9,7.0,181.0,500.0,D2
45.0,111.9,0.8,190.0,198.0,T3
620.0,405.0,7045.0,8.21,130.0,D2
18.19,400.0,67.0,170.0,828.0,NF
2770.0,61000.0,30.0,322.0,59.71,T3
18.19,15.0,13.0,34257.0,184.0,T1
0.0,10.94,30.0,1330.0,6.0,D1
2.369,86.0,29990.0,66.0,6.16,T3
7600.0,706.0,10.0,197.0,239282.0,D2
34.0,160.0,57000.0,464427.0,2.0,NF
388.0,3.0,35.0,34.02,0.0,NF
1950.0,48.82,27.14,1132.0,18.12,D2
195.9,540.0,540711.0,957.0,4.0,T2
2770.0,2.97,2572.0,400.0,5830.0,T3
1570.0,1230.0,250.0,342233.0,33.0,D1
440.0,18342.0,61.0,2788.0,36.2,D2
170.0,160.0,343.0,233.0,27.72,D1
120.0,32.0,490.0,92.5,5.6,D2
2423.0,37.3,22.0,4620.0,1600.0,T2
549.0,21.0,0.68,137.25,221.0,D1
1642.0,149.6,44.2,497.0,7.0,NF
6709.0,15.7,1.01,194.8,198.0,D1
20.0,2313.0,440.0,610.0,57000.0,T2
300.0,21.5,619.0,400.0,318.0,D2
32930.0,2000.0,38.0,84.0,19.0,NF
9032.0,8.0,0.0,322.0,0.0,D1
14.2,340.0,323.0,5.5,5.61,T3
48.0,300.0,8.0,0.0,0.0,T3
50.18,442.0,62.0,181.0,554.0,T1
12705.0,11.57,270.0,13500.0,4443.0,D2
210.0,223.6,38.9,52.0,760.0,D1
65.2,171.12,1.0,181.0,3.87,T3
8200.0,41.9,4.1,193.6,9.51,T3
48.0,5020.0,537988.0,1.22,0.0,T1T2
24700.0,860.0,244.0,2.0,19.0,D1
645.0,5020.0,184.0,1200.0,1560.0,D2
6870.0,44.0,2.33,98.03,6933.0,D2
462.0,2.01,1.0,670.0,4174.0,D1
116.17,10.0,24.0,800.0,14.25,D2
90.0,6730.0,10.1,489.57,67.0,T3
1330.0,2740.0,49.0,5.0,0.0,D1
2240.0,100.0,25.5,9.4,0.0,D2
300.0,438.0,90.0,21.0,220.0,D1
2800.0,530.0,8.4,406.4,116994.0,D1
2118.0,1069.0,680.0,190.0,0.0,NF
3700.0,744.0,269.5,2810.0,91.29,T1T2
0.0,20.0,546779.0,22.0,7730.0,D2
8.0,7.93,218083.0,709.0,40.0,T3
40280.0,44.0,27.0,20.1,175.0,T3
420.0,1440.0,4.7,1132.0,1.01,PD
420.0,1028.0,17.0,540.0,56.0,T3
87.17,2016.0,0.0,95650.0,5.36,NF
14.0,817.0,5390.0,400.0,121.0,D1
3.11,230.0,30.0,1.0,1.0,D1
6870.0,706.0,45.24,95650.0,1560.0,D2
35.0,1.0,3600.0,406.4,33.0,D2
2366.0,2740.0,3393.0,126.0,37565.0,D1
1330.0,229.0,0.3,11.0,3.0,T3
1790.0,49.0,8.0,712.0,0.0,D2
72.0,13000.0,128.0,600.0,91.29,D2
110.4,619.0,0.1,21.7,1.0,D1
5884.0,80.2,1830.0,406.4,3.74,NF
87.2,229.0,245667.0,6.0,111.0,D1
1900.0,580.0,21.891,4.0,31.0,NF
60.0,660.0,668.0,440.0,0.0,PD
529.75,4980.0,1560.0,1810.0,634.0,T2
40000.0,58.0,1.64,41.0,10.0,T3
3675.0,157.0,190961.0,7.0,0.0,D2
800.0,50.0,9.0,7.24,90.0,D2
6870.0,120.0,90.0,53.0,6.16,D1
5000.0,442.0,434.0,1000.0,280.0,T3
23.0,2800.0,6.58,121.1,0.98,NF
388824.0,2397.0,11.6,34.02,8.0,D2
24700.0,10500.0,25.0,1210.0,0.3,D2
2.369,1600.0,9.0,1901.0,11.0,PD
2587.0,175.21,5500.0,8500.0,18.2,D1
46.13,533.0,757.0,2.0,250.0,NF
71.6,1850.0,101.0,0.0,3270.0,T3
22.5,5201.0,1600.0,957.0,480.0,D2
