H2,CH4,C2H2,C2H4,C2H6,Fault
2005.543,2427.14,2830.026,5060.38,1006.34,D2
0.0,0.0,597.782,4185.24,568.72,D1
0.0,3553.24,1738.864,2058.88,0.0,D2
0.0,225.45,2782.13,6230.82,5062.24,NF
3386.914,24327.56,0.0,0.0,2062.02,D1
0.0,413.19,0.0,0.0,1897.34,T3
126.347,4270.14,3376.077,5310.79,2800.94,NF
0.0,3575.07,57033.124,3376.83,1576.58,NF
3009.199,1569.57,0.0,437.03,1333.87,D1
4208.257,266.55,2755.34,0.0,1325.86,D1
5076.17,5536.12,134.53,6028.33,1349.14,D2
550.879,2834.88,0.0,496.37,1553.54,D2
0.0,1373.6,0.0,0.0,4330.89,T1T2
2303.511,2270.24,0.0,2717.54,0.0,D2
5756.459,3645.95,0.0,2887.66,3347.22,PD
4534.215,0.0,0.0,0.0,1424.94,T3
2488.696,4319.64,2999.72,0.0,3004.79,T2
3055.788,1339.93,0.0,0.0,0.0,D1
2396.653,1950.09,0.0,4415.17,3775.84,D1
4276.063,1947.98,820.277,5900.73,1602.14,T3
5306.549,3543.26,998.698,197.56,1389.03,D2
0.0,0.0,605.802,0.0,0.0,T3
3250.159,817.41,0.0,851.69,171.12,D1
536.579,691.95,3460.535,0.0,0.0,T1
1425.566,2805.05,0.0,0.0,2608.38,D2
5174.745,22795.41,2623.745,0.0,1408.12,T1
1072.91,0.0,0.0,1469.12,2271.36,D1
7483.165,2170.71,893.235,891.08,5010.58,T3
0.0,2656.92,319.493,2137.1,206.6,D2
5331.802,4261.84,7501.453,1915.31,2576.71,PD
7292.146,2983.81,2799.934,0.0,819.39,D2
875.779,0.0,0.0,0.0,788.04,T1
1553.539,1239.81,0.0,0.0,577.5,T1
4898.92,5602.37,0.0,5881.94,2652.11,D2
0.0,1705.56,3479.827,1308.49,3573.0,D2
1488.45,3146.05,0.0,1723.67,2441.7,D2
1456.678,0.0,0.0,1602.5,0.0,D1
1784.13,257.51,0.0,0.0,2965.03,D2
2483.602,0.0,0.0,0.0,2402.27,D1
7576.85,3741.74,0.0,4193.57,1863.85,PD
0.0,1830.48,4350.84,0.0,753.26,D2
0.0,240.55,1436.895,2230.59,0.0,D1
2123.574,1891.02,0.0,4646.18,228.82,T3
4217.632,0.0,0.0,0.0,0.0,D1
0.0,2103.42,2091.516,0.0,478.02,D2
0.0,3807.71,0.0,654.64,575.16,D2
0.0,0.0,0.0,3998.35,2014.12,NF
0.0,0.0,3398.418,573.22,2091.14,T3
0.0,2078.23,0.0,2498.47,1161.79,NF
5811.681,1750.5,0.0,2308.89,1885.88,T1T2
3238.563,329.59,0.0,0.0,276.09,T1
1543.407,2872.86,2119.011,0.0,4054.49,PD
0.0,0.0,0.0,1205.42,2868.18,D1
0.0,178.85,342.509,0.0,3067.82,T1
2977.652,4798.12,162.956,3814.41,3658.38,T1T2
3153.743,248.26,0.0,0.0,0.0,T1
1145.018,3353.46,0.0,2185.52,3656.12,NF
3769.736,2834.27,2524.761,1605.06,1698.18,T2
2066.93,3341.34,4234.497,3844.12,0.0,D2
2862.585,3221.22,0.0,1497.32,1719.46,D2
0.0,690.18,0.0,0.0,3642.12,T3
1146.876,4476.19,0.0,363.7,1370.53,D2
7147.529,1442.67,0.0,1464.1,4009.85,PD
0.0,0.0,0.0,313.45,0.0,T1
5813.662,2252.5,0.0,4227.64,495.77,D2
8730.371,40923.69,0.0,0.0,608.72,D2
0.0,1882.69,2793.388,3449.29,582.96,T3
0.0,1321.73,0.0,2799.37,2923.57,NF
4333.164,4567.71,0.0,1549.36,3911.85,T3
3555.745,1880.29,1416.51,2631.41,3534.22,D2
3830.248,3806.89,0.0,942.91,2831.35,D2
4550.651,3781.93,492.167,0.0,349.15,T3
2890.014,234.37,0.0,0.0,1507.76,T3
0.0,1889.41,1591.962,1308.29,4025.16,T3
4860.558,695.47,0.0,0.0,85.95,D1
1515.631,2115.35,522.513,3784.84,1888.65,D2
0.0,1266.67,0.0,0.0,2956.04,D1
958.399,1886.43,0.0,1755.07,4553.65,NF
4368.216,1150.14,0.0,0.0,801.27,D1
0.0,0.0,418.696,4184.27,117.65,D2
47173.79,4156.94,3578.582,0.0,3251.02,PD
4275.308,3792.57,655.862,0.0,665.89,D2
904.016,1664.08,0.0,931.99,2726.68,D1
0.0,1835.54,3312.886,891.71,2629.16,T1
0.0,22476.09,0.0,1249.07,0.0,D1
1641.036,2516.8,1014.248,995.68,0.0,D1
1793.183,2075.07,0.0,6325.95,1581.58,D1
3788.622,2842.5,0.0,0.0,2304.31,D2
0.0,0.0,3507.153,0.0,330.25,D1
4668.359,1926.37,0.0,4020.95,0.0,NF
487.376,997.54,0.0,5533.48,0.0,D1
6545.819,3761.12,0.0,5245.79,331.35,PD
3365.321,129.51,0.0,1956.66,1151.76,T3
0.0,0.0,51.003,1975.98,2150.76,D1
750.52,1423.8,0.0,0.0,0.0,T2
3820.1,2375.28,0.0,6113.85,158.39,D2
0.0,346.96,1203.622,0.0,0.0,T1
4244.086,3011.22,3393.33,1275.47,1886.01,T3
35.41,2176.52,1681.432,1545.23,1630.38,T2
0.0,170.96,0.0,4003.81,3831.91,NF
0.0,3101.77,768.461,415.03,1086.51,D2
0.0,1777.46,2798.364,4044.35,1848.33,NF
5324.308,1832.41,712.583,2195.06,1482.08,D2
0.0,2903.42,0.0,987.86,899.81,D2
0.0,1099.79,0.0,0.0,1409.39,T2
2664.84,2706.14,0.0,1721.35,1451.71,D2
178.506,564.57,0.0,2917.71,448.5,D1
1197.041,1987.85,353.987,4166.62,1924.62,NF
4192.746,3484.94,2460.155,2385.58,1961.88,D2
2171.428,0.0,0.0,0.0,2377.54,D1
0.0,1619.41,22.712,0.0,480.59,D2
5874.723,5462.69,4377.463,803.08,2595.44,D2
4553.697,1684.19,683.266,735.32,281.75,D1
1598.347,2670.63,2577.771,2186.26,0.0,D2
0.0,436.94,2272.629,3240.48,1818.88,D1
6193.429,1922.5,0.0,0.0,1675.45,T1
6247.82,2161.9,1484.88,0.0,2710.05,T3
4273.566,2268.95,2497.479,451.37,3488.28,D2
3782.951,3684.12,0.0,1509.27,5053.15,T3
3889.385,2476.23,3672.979,1442.57,377.77,D2
5975.701,3443.88,548.119,0.0,0.0,T3
6987.112,6303.9,1420.677,3714.14,3306.43,D2
0.0,0.0,0.0,0.0,794.31,D1
2627.996,1264.58,1193.407,3897.76,0.0,T1
5602.85,1484.88,69.416,0.0,658.87,D2
4921.448,2935.61,85008.476,2789.0,0.0,PD
6934.394,2392.23,0.0,2487.76,3494.39,T3
1490.017,119.44,0.0,866.53,655.6,T3
0.0,0.0,0.0,932.4,1486.98,D2
1707.096,2306.39,2451.241,0.0,1707.94,T3
1425.688,2416.63,0.0,1829.16,3466.68,D1
4896.5,3749.03,0.0,3565.52,1159.02,D2
2457.019,5603.37,0.0,2511.4,2359.98,D2
1864.617,1007.6,323.204,1287.62,26737.14,D1
4110.646,198064.16,2550.943,1707.95,1247.41,NF
12367.61,3074.01,3524.166,1866.31,1388.73,PD
0.0,223.73,0.0,2693.57,4097.44,T1
2847.814,193.47,0.0,2146.75,0.0,D2
311.818,846.23,0.0,0.0,871.24,PD
4332.817,3403.89,5604.016,484.99,3329.62,NF
0.0,1013.71,0.0,2235.75,1852.83,D1
832.35,1217.18,470.884,831.05,2886.41,D2
8171.444,5043.39,2727.483,690.55,834.64,PD
3030.011,2273.9,916.262,2425.35,1784.35,NF
4921.231,3937.16,3720.51,2691.98,0.0,PD
2762.725,3657.24,0.0,2331.2,2467.19,T2
0.0,0.0,761.761,1000.6,2738.72,D1
0.0,2264.68,483.577,158.68,242.15,D1
0.0,1710.12,1333.332,0.0,2754.76,D2
34.185,2156.43,0.0,0.0,1902.91,D1
3954.929,2291.49,0.0,1024.55,863.51,D2
1651.698,1780.85,0.0,0.0,1962.23,D1
1792.898,0.0,0.0,2132.8,901.85,T1
0.0,0.0,2579.215,0.0,2186.62,T1
8397.99,2972.01,0.0,0.0,0.0,T3
0.0,0.0,719.935,1577.0,0.0,T3
474.04,2739.64,1006.017,641.85,2373.88,D2
2580.084,2440.53,0.0,0.0,0.0,T2
5889.817,3960.54,0.0,3115.36,643.97,D2
1114.61,1876.08,0.0,174.78,263.26,D1
5971.377,0.0,2667.902,0.0,0.0,T3
0.0,784.46,1877.421,353.16,2323.67,T2
1822.708,1641.5,0.0,3207.71,180.8,D1
956.403,0.0,519.11,5949.68,0.0,D1
37419.334,4808.9,859.322,2387.16,3356.05,T2
4182.155,3008.96,1956.583,1814.97,4979.28,PD
0.0,3541.66,1879.158,1080.99,1787.13,D2
0.0,1694.14,0.0,2507.33,0.0,NF
575.066,2084.78,0.0,0.0,776.6,D1
2125.794,1680.34,0.0,33.71,868.74,D1
180.402,831.62,2789.619,5185.14,1863.55,NF
0.0,2319.53,2096.019,4182.68,4072.52,NF
0.0,380.51,3647.796,178.75,573.07,D2
0.0,2118.97,0.0,614.5,2024.37,D1
8418.01,2671.67,1779.553,2186.68,1408.53,PD
3765.188,1795.68,958.976,0.0,0.0,T3
4145.21,45797.25,2474.49,4058.4,3439.84,T2
0.0,2087.16,3500.24,2076.4,475.43,D2
46045.629,4393.85,983.161,0.0,4081.17,PD
5693.061,2242.85,0.0,568.81,2909.06,D2
6048.969,673.64,0.0,3128.48,0.0,D1
0.0,1373.12,4884.978,501.69,3277.2,PD
7019.848,938.18,0.0,0.0,2174.84,D1
586.139,0.0,0.0,6780.95,45.56,NF
0.0,867.71,0.0,2473.08,2681.86,D1
3467.074,1779.49,0.0,3727.04,3943.33,D2
0.0,3521.27,2468.662,5913.3,2188.31,NF
0.0,1912.24,0.0,0.0,0.0,D1
4767.004,4576.91,0.0,0.0,3112.22,D1
0.0,2304.86,0.0,0.0,398.59,T1
4300.915,3055.64,1008.794,3945.91,3030.65,D2
703.267,1524.96,469.098,0.0,553.04,T2
3388.954,1061.45,0.0,0.0,0.0,D1
1839.82,0.0,0.0,0.0,1642.74,D1
6008.989,1015.77,0.0,0.0,0.0,D1
2609.702,837.95,1227.949,2268.72,579.31,D1
4137.976,2718.55,4696.278,0.0,770.66,T2
2253.023,4845.19,7772.835,1774.0,3402.63,PD
66.398,495.07,0.0,25.66,0.0,T1
45861.344,3433.73,0.0,1716.56,2473.69,PD
2680.509,1427.95,1088.472,0.0,3727.68,D1
0.0,159.69,2240.821,0.0,3242.43,D1
2926.913,1343.65,0.0,2005.92,4151.15,D2
2328.431,1064.24,2886.91,0.0,1109.22,T1
