H2,CH4,C2H2,C2H4,C2H6,Fault
2770.0,3.0,110.0,9.0,554.0,1
45.0,580.0,29.0,121.1,1.0,0
13500.0,13000.0,24.0,478904.0,0.0,0
292.58,35.0,6.0,0.7,0.0,2
200.0,119.69,5188.0,41.0,6.0,1
1309.0,580.0,0.0,132.2,9.51,1
236.0,170.0,40.0,15.9,20.0,0
860.0,940.0,54.0,126.0,87.0,7
316.0,1028.0,31.5,2.64,4343.0,3
595.0,1430.0,100.0,614.1,7730.0,7
305.0,940.0,239.0,56377.0,1.0,1
12.0,1440.0,128.0,449264.0,129.0,7
7150.0,120.0,0.46,4.1,0.96,3
305.0,135.0,36.0,56.88,0.21,0
83.26,23498.0,0.0,222.0,128.0,0
470.0,28.0,530.0,78.0,800.0,1
88.0,1115.0,763.0,478904.0,7.6,3
137.0,2800.0,7.0,8.13,0.21,1
290.0,41.9,655.0,23.0,4641.0,0
111.0,400.0,0.68,4510.0,8.0,3
613.0,22.0,49.0,1.28,49.0,4
529.75,1381.0,167.0,1.0,220.0,1
83.26,1110.0,325.0,1210.0,83.0,0
0.0,1075.0,45.24,53.0,18.2,1
78.0,500.0,24.6,400.0,0.6,7
135.88,1740.0,1760.0,440.0,299.0,2
2118.0,255.0,355.0,200.0,0.0,3
83.26,221.7,21.05,1839.0,875.0,5
549.0,4704.0,36.0,60.0,530.0,7
290.0,1.0,124.0,1066.7,0.0,1
20.37,100.0,14.0,4.0,33.0,1
9619.0,160.0,16.0,342233.0,83.0,6
4480.0,10.0,345.0,95650.0,250.0,7
73.0,15.0,87.0,7.0,304.0,1
128.0,148.0,16.0,73.0,0.56,2
165.62,19.1,182.0,7.0,692.0,1
549.0,24.1,570.57,17700.0,500.0,6
0.0,5.2,655.0,285.39,159.0,1
4.0,35.0,96.81,7330.0,1600.0,1
420.0,120.0,96.93,4.1,138.0,4
130.0,700.0,0.0,9.0,121.0,2
34.0,0.0,460.0,260.0,1740.0,0
3675.0,12.0,26300.0,777.0,116994.0,1
90.0,619.0,31.5,13.5,2500.0,1
475.3,10.94,0.46,449264.0,116994.0,0
120.0,28.0,19.0,161.0,18.0,3
210.0,1115.0,0.0,400.0,91.29,7
10000.0,3.8,20.0,400.0,22.0,1
800.0,1260.0,1.0,13500.0,234.0,1
0.0,6110.0,9.72,53.0,14.25,0
1790.0,100.0,243.0,144747.0,375.0,1
245.0,11.0,34.0,4.0,18.0,2
0.0,240.0,7.0,93.0,1.0,2
7150.0,116.55,41.0,0.84,1.76,2
3.05,62.6,1740.0,52.68,130.0,2
78.0,23498.0,7.0,271.0,4008.0,7
2770.0,2990.0,45.21,17700.0,244.0,1
1500.0,719.0,239.0,957.0,0.0,2
400.0,4880.0,45.24,36.45,29.0,1
1900.0,8.0,25.0,312.0,4343.0,1
156.0,1.1,0.26,2.0,0.0,3
390.0,860.0,34.0,459845.0,40.0,0
1230.0,3.9,750.0,2.5,170.0,7
101.72,33.3,38.57,3800.0,186.0,6
2240.0,199740.0,6.4,7691.0,240.0,1
0.0,719.0,51.5,707.0,1730.0,0
99.0,160.0,6.58,1000.0,220.0,1
1570.0,100.0,244.0,20.1,0.0,3
4419.0,1430.0,27.0,6.96,0.9,7
164.0,130.0,6.0,131.0,9.0,1
22.04,73.18,3270.0,365.0,18.0,0
1.0,1600.0,29.0,6973.0,1570.0,1
21.0,677.0,167.0,1330.0,8.0,1
2850.0,4463.0,40.0,1810.0,4343.0,1
134.78,5399.0,26300.0,1140.0,705.0,1
8266.0,200.0,1.0,170.0,304.0,2
40280.0,780.0,25.5,27.0,1850.0,4
7150.0,271385.0,8.0,10700.0,18.12,1
181.0,44.0,500.0,6.96,554.0,1
20000.0,940.0,250.0,66.0,280.0,7
145.88,6110.0,38.0,1066.7,0.0,4
362881.0,2397.0,490.0,2159.0,20.0,0
24700.0,1230.0,4.7,233.0,35.0,3
32930.0,130.0,38.0,697.0,116994.0,1
470.0,20.0,34.0,400.0,16.0,7
310.0,188.0,30.0,122.5,0.98,2
1.0,966.0,33.0,1810.0,0.0,2
290.0,2740.0,29.0,2.0,520.0,4
1790.0,31.0,11.6,37.0,2025.0,0
390.0,160.0,16.0,900.0,3.23,0
128.0,135.0,0.8,1000.0,298.0,7
9.0,969.55,35.0,5040.0,1.8,0
60.0,21.0,2540.0,66.0,2540.0,1
68.0,1430.0,8.0,27.0,10400.0,1
164.0,7.01,1.0,580.0,28.0,2
730.0,345.0,16.0,820.0,554.0,2
165.62,157.0,769.0,820.0,490.0,1
1820.0,160.0,32.6,692.0,7.0,3
26788.0,2016.0,9.0,41.0,757.0,0
120.0,61.33,62.0,10700.0,4040.0,1
480.0,157.0,32.5,78.0,554.0,1
195.9,157.0,21.0,16.1,399.0,7
78.0,2227.0,25.0,11.2,70.0,0
3675.0,5145.0,124.0,1000.0,57.0,2
7746.0,2.01,25.0,80.49,18.3,5
400.0,269710.0,0.0,26076.0,16.0,0
2443.0,610.0,5.0,249.8,31.0,1
810.0,4290.0,21.0,449264.0,56.0,4
13500.0,1600.0,12.8,140.0,37565.0,1
362881.0,540.0,175.0,440.0,0.96,1
480.0,1075.0,70.0,3.2,52.0,1
1790.0,400.0,0.5,514.53,769.0,0
9032.0,120.0,16.0,12.67,0.26,4
12705.0,619.0,4.0,404.0,16.0,1
230.0,41.9,2.0,1330.0,56.0,0
40000.0,438.0,18.1,0.0,465.0,0
131.7,71.93,54.0,8.0,1100.0,0
9823.0,100.0,58.0,97.0,10400.0,2
4395.0,62.6,57.0,78.0,2.95,1
1950.0,121.3,1100.0,51.0,0.0,3
7911.85,180.83,4.1,6788.0,482.0,0
6454.0,700.0,10.0,400.0,4174.0,3
210.0,22.0,0.8,0.7,7806.0,3
7487.0,73.18,111.0,161.0,121.0,3
960.0,38.39,26.3,11.0,226.0,1
2850.0,450.0,28.0,34.02,4536.0,3
487297.0,690.0,30.0,54.0,277.0,2
3417.62,0.0,541.0,66.0,0.21,6
31.0,2397.0,0.5,15.9,15.86,0
21.0,64064.0,85.0,820.0,0.0,6
1550.0,10500.0,125.22,312.0,1180.0,5
120.0,120.0,9.37,1200.0,256989.0,4
71.6,123.0,434.0,6788.0,1.0,0
290.0,157.0,2.0,137.25,208.0,0
2285.0,400.0,323.0,5.0,0.96,6
485.0,500.0,29990.0,37.3,29.8,6
82.74,50.6,38.0,3000.0,220.0,7
2443.0,690.0,0.2,497.0,1.0,0
90.0,278.53,24.6,2.0,2.0,7
41.0,24.45,299.0,5150.0,22.0,3
305.0,702.0,7.0,447061.0,280.0,0
7746.0,100.0,0.0,153.0,19.0,1
107.0,160.0,26300.0,12.0,28.06,1
50.0,719.0,321.0,11.0,176.0,3
1860.0,442.0,3.91,249.8,0.0,0
78.0,14.5,554.0,15.9,22.0,0
102.0,1690.0,0.0,131.0,40.0,2
26788.0,4290.0,110.0,153.0,0.56,0
23.0,400.0,130.0,365.0,0.0,2
87.2,60.0,40.5,6788.0,6432.0,1
292.58,30.0,0.1,580.0,0.0,1
388824.0,23498.0,11.0,1.5,875.0,1
60.0,73.18,27.14,957.0,56.0,2
290.0,135.0,8.72,74.85,29.8,6
260.0,2990.0,25.0,2861.0,1.0,3
2800.0,1.5,1.0,102.0,3.8,7
522.2,130.55,40.0,196.0,22.0,7
2800.0,1600.0,3.7,2810.0,0.0,1
5.48,161.6,67.0,144747.0,0.7,0
6.0,660.0,14.2,4.0,6.0,1
14.0,22.0,9.6,66.0,22.0,4
57.0,244.0,0.0,0.0,304.0,1
56.0,998.0,670.0,7691.0,7852.0,3
87.2,168.0,1010.0,395.0,1060.0,5
700.0,3422.0,125.22,6973.0,304.0,0
2400.0,690.0,280.0,33.0,36.0,7
78.0,580.0,1560.0,10.0,4343.0,1
0.0,940.0,3.0,540.0,0.1,7
595.0,11.0,96.93,110.0,24.0,1
595.0,1075.0,96.93,37.3,0.0,7
5884.0,4637.0,38.57,570.0,124.0,7
9531.0,280.0,2.0,190.0,0.0,1
3.05,774.0,2293.0,66.0,8.0,0
4230.0,10200.0,0.63,4.7,40.0,1
45.0,6490.0,3.0,222.0,5188.0,0
676.74,52.2,4040.0,4.7,4049.0,4
10000.0,3564.0,21.0,7.0,0.0,1
78.0,269710.0,2.0,900.0,1300.0,2
10000.0,280.0,39.4,600.0,30.0,6
10092.0,700.0,217.0,6040.0,190.0,0
120.0,1230.0,7.0,8.0,250.0,4
20.0,138072.0,317.0,4.0,16.45,0
595.0,20.0,8.0,2159.0,1500.0,6
150.0,171.12,1.0,435718.0,0.32,7
117.0,395.0,85.0,4620.0,91.29,1
900.0,4.5,76.0,65.3,7.0,7
20.37,35.0,317.0,161.0,53.87,1
1100.0,35.0,184.0,1780.0,220.0,4
72.0,8.5,1712.0,7330.0,29.0,7
4.0,785.0,17.0,570.0,85.0,1
1900.0,1586.0,30.0,6973.0,541.0,2
23.51,58.96,54.0,194.8,0.0,7
40000.0,8.0,2690.0,41.6,2111.0,1
3910.0,24.45,58.86,2810.0,16.73,0
2240.0,110.0,157.0,388782.0,111.0,2
390.0,120.0,9.6,16.36,0.0,2
31.0,163.0,7025.0,610.0,20.0,5
55.0,5020.0,0.5,6.0,1.0,4
34.76,1260.0,159.0,260.0,19.0,3
860.0,19.1,763.0,2861.0,0.0,2
2240.0,2313.0,8.0,497.0,1010.0,6
2443.0,400.0,20.0,1987.0,22.0,0
120.0,100.0,500.0,7330.0,330.0,0
523.0,400.0,45.0,148.69,198.5,1
305.0,71.93,0.1,800.0,5500.0,4
2127.0,77.0,8.0,190.0,4.0,6
4566.0,3450.0,567.0,383.0,124.0,1
78.0,77.0,1.0,957.0,22.0,1
20.0,750.0,22.0,820.0,9.0,4
4230.0,1600.0,0.0,9.0,1.0,0
6.82,10500.0,540711.0,182.04,176.0,1
137.0,8.0,45.0,131.0,87.0,1
523.0,255.0,0.5,336.0,57000.0,6
260.0,10.0,14.0,5.5,7.0,5
36036.0,4980.0,67.0,7691.0,465.0,1
2323.0,120.0,0.5,464427.0,0.0,0
53.0,199740.0,30.0,600.0,410.0,1
1900.0,5201.0,5.0,3120.0,20.0,0
3090.0,140.0,2572.0,197.0,11.0,7
206.0,116.55,17.0,0.0,104.0,3
535.0,580.0,595394.0,540.0,299.0,2
88.0,940.0,62.0,435718.0,3.8,6
12.0,240.0,1880.0,0.0,1.59,1
21.0,1850.0,28.0,7.0,7.0,7
220.0,86.0,210.0,1390.0,91.29,4
63.0,1000.0,22.0,315114.0,4462.0,4
513.0,120.0,58.86,2.0,5.4,6
29.9,340.0,25.0,440.0,19.0,4
40280.0,774.0,0.26,530.0,110.0,1
3910.0,2.1,22.0,404.0,19.0,1
290.0,4000.0,110.0,132.2,318.0,3
2456.0,1120.0,76.0,8.0,87.0,5
134.78,560.0,269.5,41.0,885.7,3
4480.0,458.8,1230.0,1000.0,189531.0,7
48.0,995.0,72128.0,2050.0,96.9,3
5869.58,77.0,0.1,907.19,355.0,1
462.0,188.0,23.0,7020.0,3548.0,1
131.7,45.32,118.0,7330.0,1.0,1
60.0,61000.0,0.5,411.0,96.9,0
1.6,140.0,545454.0,336.0,0.0,7
82.74,744.0,62.0,1000.0,750.0,6
7613.0,3600.0,170.0,66.0,2.0,0
2500.0,188.0,0.0,692.0,0.0,7
14.0,250.0,94.0,395.0,1.8,1
0.0,100.0,21.0,249.8,3363.0,6
7919.0,45.32,58.0,2.6,239.0,6
24700.0,1.5,28.0,33.14,1.0,7
10000.0,1850.0,1400.0,30.0,36.2,0
13500.0,1850.0,40.0,14.0,1.0,7
310.0,619.0,85.0,14.0,33.0,2
1570.0,24.0,626.0,77.84,634.0,1
75.0,34.0,3.94,10700.0,692.0,3
165.62,22.0,750.0,33.17,1760.0,1
1950.0,4704.0,1.0,254.0,5188.0,0
1330.0,48.82,9.0,74.85,256989.0,2
34.0,86.0,0.0,7.0,0.0,0
13500.0,120.0,138.0,66.0,1570.0,1
20000.0,5.2,74.7,448.0,104.0,3
210.0,130.0,2121.0,13500.0,0.0,6
310.0,73.18,68.0,166.0,27.72,7
543.0,171.05,0.2,7.24,6.0,1
1270.0,3.5,595394.0,1901.0,49.0,6
89.0,719.0,8.0,181.0,35.0,1
116.17,94.0,1600.0,39.0,35.0,0
953.0,110.0,299.0,459335.0,3363.0,6
470.0,940.0,44.2,2.0,26.0,0
33046.0,244.0,670.0,1140.0,70.0,4
487297.0,0.2,37.0,541.0,3600.0,7
7600.0,10500.0,179851.0,1390.0,4790.0,7
18.19,168.0,8.0,98.03,1850.0,0
131.7,229.0,190.0,2.4,4.5,7
102.0,4.0,2572.0,266.0,3.38,1
87.0,1430.0,5.9,334.0,8.3,5
53.0,94.0,2.0,52.68,304.0,2
99.0,21.53,34.0,1700.0,2308.92,0
800.0,1075.0,1010.0,449264.0,330.0,0
4480.0,2313.0,6.0,448.0,1560.0,1
3700.0,20.0,1850.0,312.0,399.0,1
800.0,215.0,2690.0,2810.0,626.0,1
29.9,15.0,13.0,2050.0,220.0,3
2177.0,3422.0,0.0,2810.0,0.96,0
7600.0,143.0,21.05,400.0,1560.0,0
88.0,212.4,7.3,12.87,1570.0,2
40280.0,61000.0,221.0,11.0,692.0,6
78.0,4637.0,3270.0,820.0,2.0,1
2394.0,34.7,35.0,820.0,1830.0,2
57.0,149.0,1880.0,957.0,3.8,1
1651.0,244.0,30.0,98.03,9.51,5
625.0,160.0,24.0,1290.0,12.0,1
2443.0,754.0,20.0,707.0,2489.0,2
513.0,44.0,14.9,26.0,0.2,6
78.0,7.88,8.4,18.8,3.38,4
99.0,4980.0,35.0,11.0,221.0,2
4480.0,844.0,3.22,1560.0,1230.0,0
545.0,36.0,1712.0,102.0,28.06,2
120.0,530.0,138.0,40.54,3.0,1
220.0,3.8,128.0,5.06,8.0,7
400.0,123.0,40.0,78.0,3.1,0
1769.7,64064.0,8.0,2.5,4284.0,0
1.96,1.0,277.0,5450.0,17.48,1
260.0,21.99,240.0,46.92,35.0,7
23.0,170.0,0.0,4258.0,187.0,1
645.0,20.0,221.0,2010.0,6.16,0
35.1,244.0,79.0,5.5,769.0,0
531.0,160.0,97.0,6.0,10.47,0
245.0,5399.0,280.0,4.0,280.0,0
292.58,20.0,0.0,365.0,250.0,1
4.0,4980.0,10.0,957.0,111.0,4
150.0,45.32,6.58,1.2,280.0,0
139.0,116.55,7.0,128.37,0.0,7
