H2,CH4,C2H2,C2H4,C2H6,Fault
1.0,1069.0,2.48,12.0,875.0,D1
7940.0,1110.0,3.0,66.0,207.0,D1
210.0,162.0,3675.0,4.0,0.98,D2
22.04,149.6,52.0,4.0,4.0,T2
60.0,271385.0,655.0,600.0,5.2,T3
1585.0,255.0,2.0,1901.0,35.0,T1
1585.0,10.94,2.33,478904.0,6.58,T1T2
755.0,2313.0,540711.0,45.0,29.8,PD
1.6,18342.0,9.6,10.0,2308.92,T3
138560.0,278.53,321.0,388782.0,0.0,D1
90.0,4000.0,0.0,7.24,0.0,NF
470.0,223.6,1600.0,11.0,56.0,T2
441916.0,44.14,8.0,11.0,1010.0,D2
290.0,58.0,3.1,5.5,259.0,D2
135.65,100.0,0.0,1.0,26.0,D2
2238.0,765.0,113.0,36.43,0.0,D1
37800.0,4000.0,3600.0,34257.0,277.0,NF
38.0,1230.0,647129.0,74.85,8000.0,PD
700.0,123.0,5.9,6.0,4.0,D1
57.0,1.0,16.0,8.0,221.2,D1
40280.0,7870.0,5500.0,957.0,250.0,D1
50.0,735.0,83.0,304.0,19.4,D2
46.13,10500.0,124.0,18.8,2.71,D1
1027.0,24.45,0.0,461.0,619.0,D2
120.0,22400.0,17.0,14.0,2.71,D2
5760.0,966.0,13.0,6.0,5188.0,D2
360.0,7.01,2293.0,4510.0,40.0,D2
545.0,280.0,3.91,73.0,226.0,NF
1084.0,10.0,130.0,3800.0,0.7,D2
15.9,1600.0,8.0,820.0,25.0,D1
1550.0,4980.0,11.0,2483.26,189531.0,T3
523.0,1110.0,16.0,7330.0,8000.0,D1
40000.0,995.0,97.0,2861.0,1.0,D2
390.0,8.0,76.0,400.0,79.0,D1
4419.0,400.0,96.93,957.0,5.4,D1
78.0,44.14,4040.0,614.1,2025.0,T3
20.37,163.0,24.6,4.0,5.2,D1
2366.0,162.0,0.2,140.0,4266.0,D2
11.0,120.0,25.0,400.0,0.0,T3
210.0,2397.0,299.0,0.0,1.6,D2
3417.62,120.0,330.0,2810.0,0.0,D1
26788.0,1028.0,8.0,3.0,12.0,D2
755.0,2800.0,705.0,36.43,212.0,NF
20.37,700.0,179851.0,153.0,72.4,T3
400.0,62.6,19.0,553.0,32.0,T1
8200.0,345.0,22.0,42100.0,0.0,D2
3420.0,160.0,2000.0,4.5,0.0,NF
385.0,36.1,0.1,600.0,875.0,D1
5054.0,39.0,7.3,8.0,2308.92,D1
1570.0,706.0,138.0,27.0,46.1,T3
60.0,10.0,11.0,13500.0,22.0,T2
523.0,32.0,537988.0,183.3,3.87,T1T2
0.0,120.0,3.3,14.0,68.0,PD
800.0,395.0,52.48,1443.0,167.0,D2
600.0,1230.0,22.0,305.0,39.0,D2
128.0,844.0,29.0,3500.0,129.0,T3
2800.0,450.0,32.6,6500.0,42.0,NF
46.13,4290.0,0.0,1810.0,700.0,D2
48.0,5.8,1060.0,3500.0,250.0,D2
245.0,40.65,14.0,12.74,816.0,T3
3090.0,1061.0,280.0,6973.0,5909.0,D2
0.0,442.0,138.0,27.0,3548.0,T3
45.0,131.42,60.0,121.1,13.0,T2
195.7,210.91,0.8,820.0,234.0,T2
21.0,2016.0,38.0,312.0,110.0,T3
131.0,744.0,58.0,322.0,2760.0,T3
35.0,171.12,2.0,4115.0,2500.0,T1T2
0.0,400.0,6.0,12.87,6933.0,T3
620.0,458.8,19.4,77.84,31.1,D2
5869.58,130.55,3.9,30.0,1740.0,D1
24700.0,5.2,28.0,907.19,231.0,PD
480.0,271385.0,2.48,33.0,1230.0,PD
7600.0,15.0,2.0,200.0,20.0,D1
4230.0,20.61,9.0,51.0,0.21,D1
6870.0,10500.0,280.0,53.0,11.0,D2
3420.0,17.1,8.0,67.0,2.0,D2
385.0,2.1,8.0,817.3,57000.0,D1
1550.0,200.0,7.0,12.67,1.1,PD
360.0,400.0,10.0,365.0,634.0,D1
200.0,39.0,3.91,461.0,7.3,D2
100.0,995.0,25.0,39.0,3.5,PD
400.0,0.0,7025.0,1290.0,7.0,T3
4.1,21.5,38.0,907.19,20.0,D1
44.6,71.93,175.0,11.0,14.36,PD
156.0,10500.0,2.0,400.0,249.0,D1
137.0,253480.0,2.09,388782.0,94.0,PD
2394.0,160.0,28.9,6.0,19.4,NF
4230.0,160.0,1.4,907.19,2.0,D1
14.0,50.6,1.01,49.0,490.0,D1
9840.0,27.65,30.0,26076.0,67.0,NF
529.75,4000.0,323.0,2000.0,7.0,T1
40000.0,3.0,250.0,183.97,176.0,D2
5869.58,73.18,7.0,21.7,22.0,D1
57.0,168.0,0.0,108.0,26.0,T1
292.58,44.0,647129.0,27.7,176.0,T2
60.0,120.0,21.891,40.0,16000.0,NF
50.18,175.21,10.0,4.0,53.87,D1
107.0,116.55,7025.0,315114.0,0.2,D1
24700.0,5201.0,554.0,3.2,250.0,T1
3700.0,395.0,32.0,1000.0,12.0,D2
1820.0,15.0,769.0,153.0,9.0,D2
25.4,58.96,138.0,95650.0,7.0,D2
290.0,1690.0,31.6,66.0,0.0,PD
156.0,41.9,85.0,403.0,0.0,T1T2
1.0,1381.0,2.0,5.06,0.0,D2
5100.0,62.0,128.0,4.0,0.0,NF
960.0,3.0,6.0,31.0,45.0,D2
7600.0,2.1,6047.0,383.0,10.0,D1
3910.0,619.0,26300.0,108.0,190.0,D2
97.0,188.0,570.57,40.54,22.0,D1
60.0,11.57,2511.0,0.03,72128.0,D2
87.2,36.1,19.0,2.0,4.36,D1
290.0,619.0,8.4,342233.0,15800.0,D2
420.0,2990.0,673175.0,33.14,936.6,T3
290.0,671.0,692.0,196.0,54.0,T3
1100.0,20.2,210.0,128.37,6432.0,D2
63.0,26.1,20.0,37.0,94.0,D2
1570.0,135.0,249.0,3.0,13.0,T2
14.0,160.0,56.0,5150.0,7.0,T3
305.0,10500.0,2.0,72.0,1760.0,NF
96.0,2740.0,4.49,440.0,36.2,NF
5100.0,1690.0,0.3,271.0,0.38,D1
2800.0,3.0,60.0,4.0,83.0,T2
120.0,188.0,28.0,40.0,6432.0,D1
3.05,18.9,3.91,26.0,30.0,NF
1570.0,7.88,1.88,1810.0,13.0,NF
480.0,1850.0,36.0,131.0,13.0,D2
1642.0,1069.0,19.4,2.0,5188.0,D2
1.6,10.0,540711.0,3.2,14.25,D2
24700.0,7.93,14.2,27.7,110.0,T3
6870.0,0.0,159.0,2394.3,39.0,T3
101.72,44.14,1230.0,1833.0,28.5,NF
0.0,6110.0,38.0,2.0,18.2,D2
7150.0,500.0,1.0,2.0,3.87,D1
420.0,1500.0,600.0,4.0,828.0,PD
10000.0,8.5,8.9,2861.0,3548.0,T1
131.0,250.0,30.0,1.5,35.0,D2
9693.0,367.0,121.0,144747.0,231.0,PD
305.0,1110.0,33.0,77.84,1760.0,NF
12705.0,163.0,47.2,13.5,176.0,D1
36036.0,168.0,298.0,39.0,4456.0,D2
529.75,6730.0,6.0,27.0,32.81,T2
1170.0,229.0,3.0,305.0,27.72,D1
1170.0,2313.0,1.3,6685.0,2.0,T3
2323.0,1031.0,490.0,93.0,828.0,D2
70.0,1440.0,187.0,4.0,1.59,T3
120.0,998.0,595394.0,400.0,0.0,D1
7919.0,442.0,38.0,12.87,410.0,T3
1860.0,966.0,2.0,89.0,763.0,D2
1820.0,744.0,626.0,194.8,7.0,NF
2800.0,171.05,500.0,334.0,22.0,D1
1330.0,4.0,221.0,800.0,0.0,D2
26788.0,4.5,567.0,49.0,0.0,D1
305.0,5.8,374.0,1833.0,280.0,PD
9.0,5.0,1400.0,2050.0,10.47,T1
2.369,1260.0,6.58,285.39,299.0,D1
3910.0,940.0,32.3,957.0,128.0,D2
6709.0,5.8,87.0,315114.0,8.0,NF
292.58,27.65,2293.0,5450.0,38.0,D2
462.0,10.0,32.5,31.9,53.87,D1
1570.0,7.88,40.0,131.0,3.23,T1
2394.0,1069.0,3.0,820.0,28.5,T3
1000.0,21.53,2572.0,197.0,87.0,D2
1550.0,969.55,16.0,383.0,482.0,T3
14.0,500.0,4.0,2861.0,0.0,T1
305.0,175.21,79.0,411.0,3.0,T3
420.0,110.0,38.57,12.74,4.5,D2
5000.0,81.0,11.0,92.5,5.36,D1
650.0,20.2,37.0,36.43,0.38,NF
3910.0,785.0,121.0,21.0,220.0,T1
20000.0,442.0,12.59,1132.0,13.0,PD
2.369,2990.0,56.0,12.0,4641.0,D2
18.19,32.0,1.01,5.5,8.0,T3
98.0,171.12,2.33,34257.0,30.0,D1
60.0,99.2,16.0,91.6,221.0,PD
5100.0,210.91,0.0,13.5,4.36,D2
150.0,100.0,17.0,4.97,16.0,D1
800.0,700.0,16.4,6.0,336625.0,D2
30.1,27.0,4.21,334.0,1830.0,PD
5900.0,48.82,37.0,20.1,2.0,D2
650.0,1031.0,6432.0,39.0,0.6,D1
290.0,120.0,10.1,403.0,0.0,T3
57.0,1600.0,41.0,11.0,159.0,NF
700.0,395.0,68.0,6.8,210.0,NF
50.35,0.2,24.0,100.0,1.8,NF
2770.0,5020.0,2000.0,11.0,1.0,T3
1570.0,3450.0,21.0,108.0,220.0,T3
523.0,25.5,111.0,181.0,399.0,T3
110.4,102.6,1.0,196.0,400.0,D1
6709.0,6.0,67.0,365.0,250.0,T2
290.0,998.0,118.0,7.0,1010.0,D1
620.0,5020.0,705.0,4776.0,210.0,T1
890.0,782.0,8.0,4.0,49.6,T3
2394.0,3564.0,6.58,89.0,26300.0,T2
220.0,1740.0,541.0,1132.0,0.0,NF
150.0,1.0,212.0,84.0,680.0,D1
60.0,3564.0,7.0,1780.0,0.0,D2
143.8,40.65,626.0,2960.0,2300.0,T2
5000.0,5.0,79.0,0.0,234.0,D2
385.0,1430.0,1100.0,11.0,256989.0,NF
8.0,18.9,90.0,1.45,3.38,NF
3675.0,86.0,35.0,2.0,0.0,T3
530.0,438.0,104.0,422.0,16.0,T3
14.0,112.0,12.0,1132.0,259.0,NF
10000.0,28.0,8.0,140.0,1830.0,D1
4230.0,3450.0,24.0,68.6,1180.0,D1
48.0,8.89,464.0,126.0,0.0,T2
8266.0,8.0,0.0,75.0,54.0,D1
45.8,4290.0,1.3,260.0,167.0,PD
2525.3,280.0,159.0,7.0,111.0,D1
40000.0,21.5,29990.0,2050.0,1.0,T2
650.0,1061.0,31.0,1.0,25.1,D1
120.0,18342.0,104585.0,1987.0,0.98,T3
1027.0,0.0,1712.0,6.96,8.0,T3
